concert,
loudspeaker,0.068592058
microphone,0.051744886
cinema,0.014440433
electric guitar,0.058965102
torch,0.034897714
scoreboard,0.014440433
theater curtain,0.120336943
sax,0.027677497
fountain,0.051744886
mortarboard,0.013237064
matchstick,0.012033694
spotlight,0.141997593
stage,0.36101083
cornet,0.028880866
skiing,
ski,0.608294931
snowmobile,0.046082949
alp,0.33640553
snowplow,0.00921659
graduation,
book jacket,0.03652968
academic gown,0.068493151
umbrella,0.01369863
cup,0.01369863
menu,0.01369863
balloon,0.01369863
envelope,0.050228311
bakery,0.02283105
packet,0.02283105
wallet,0.01369863
binder,0.01826484
web site,0.068493151
hair slide,0.01369863
cake,0.068493151
mortarboard,0.534246575
comic book,0.01369863
jersey,0.01369863
exhibition,
cinema,0.069498069
medicine chest,0.019305019
bookshop,0.015444015
library,0.038610039
gas pump,0.038610039
web site,0.015444015
sewing machine,0.015444015
sliding door,0.042471042
toyshop,0.038610039
streetcar,0.015444015
monitor,0.015444015
vending machine,0.038610039
washbasin,0.015444015
prison,0.069498069
carton,0.023166023
comic book,0.015444015
grocery store,0.034749035
cash machine,0.084942085
soap dispenser,0.015444015
binder,0.027027027
confectionery,0.019305019
turnstile,0.081081081
refrigerator,0.027027027
stage,0.030888031
restaurant,0.046332046
barbershop,0.023166023
vault,0.030888031
home theater,0.038610039
spotlight,0.054054054
birthday-party,
packet,0.015250545
jigsaw puzzle,0.015250545
web site,0.023965142
paper towel,0.015250545
candle,0.178649237
rubber eraser,0.02832244
trifle,0.013071895
toilet tissue,0.013071895
toyshop,0.052287582
menu,0.017429194
balloon,0.108932462
pencil box,0.013071895
comic book,0.021786492
book jacket,0.013071895
altar,0.037037037
envelope,0.02832244
Christmas stocking,0.015250545
bottlecap,0.013071895
confectionery,0.074074074
pinwheel,0.039215686
dining table,0.02832244
bakery,0.061002179
ice lolly,0.019607843
cake,0.128540305
tray,0.026143791
cruise,
paddlewheel,0.00896861
wreck,0.013452915
lakeside,0.01793722
speedboat,0.035874439
container ship,0.00896861
submarine,0.02690583
liner,0.69058296
breakwater,0.013452915
bannister,0.013452915
boathouse,0.00896861
fountain,0.00896861
fireboat,0.022421525
dock,0.062780269
drilling platform,0.00896861
amphibian,0.013452915
catamaran,0.022421525
trimaran,0.013452915
patio,0.00896861
wedding,
gown,0.250896057
bow tie,0.014336918
web site,0.014336918
candle,0.043010753
goblet,0.014336918
cup,0.021505376
buckle,0.025089606
kimono,0.014336918
overskirt,0.025089606
ladle,0.014336918
altar,0.028673835
envelope,0.035842294
vestment,0.028673835
vase,0.032258065
hoopskirt,0.032258065
restaurant,0.035842294
hair slide,0.014336918
groom,0.215053763
pretzel,0.014336918
perfume,0.014336918
bakery,0.032258065
cake,0.078853047
christmas,
theater curtain,0.014184397
hook,0.014184397
snowmobile,0.014184397
church,0.014184397
pot,0.014184397
hamper,0.014184397
book jacket,0.014184397
confectionery,0.014184397
velvet,0.014184397
snowplow,0.014184397
balloon,0.014184397
lampshade,0.028368794
bubble,0.028368794
maypole,0.014184397
hip,0.021276596
umbrella,0.014184397
totem pole,0.014184397
altar,0.028368794
Christmas stocking,0.021276596
red wine,0.014184397
throne,0.021276596
restaurant,0.021276596
comic book,0.014184397
perfume,0.014184397
christmas tree,0.453900709
hair slide,0.021276596
cake,0.056737589
volcano,0.014184397
tray,0.028368794
pillow,0.014184397
